Page Title,Owner,File Formats,Description,Date Last Updated,License,Update Frequency,Access
Aquatic resource area polygon segment - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,This spatial dataset represents the locations of aquatic resource area (ARA) polygon segments derived from corresponding polygon features in the Ontario Hydro Network. ARA polygon segments may represent a portion of a water body or an entire water body (such as a lake  river or stream). Attributes for each location may include:,"April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
"Area, production, and farm gate value of marketed organic fruits - Dataset - Ontario Data Catalogue",Agriculture  Food and Rural Affairs,XLSX,Get statistical data on cultivated area  total production  marketed production  and farm value for organic fruit production in Canada and Ontario.,"February 3, 2023",Open Government Licence – Ontario,Yearly,,
"Area, production, and farm gate value of marketed organic vegetables - Dataset - Ontario Data Catalogue",Agriculture  Food and Rural Affairs,XLSX,Get statistical data on cultivated area  total production  marketed production  and farm value for organic vegetable production in Canada and Ontario.,"February 3, 2023",Open Government Licence – Ontario,Yearly,,
Areas of High Quality Natural Cover in the Lake Simcoe Watershed - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Natural cover includes areas that have been mapped as woodlands (including
plantations and hedgerows)  wetlands and other rare vegetative cover
communities.","July 2, 2013",Open Government Licence – Ontario,As required,,Ontario
Areas of Natural and Scientific Interest - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"The dataset identifies the location and types of ANSIs that are commonly used
in maps for resource management purposes.","April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Autism service regions - Dataset - Ontario Data Catalogue,Children  Community and Social Services,,"Ontario provides a range of services and supports to children and youth with
Autism Spectrum Disorders.","April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Availability of adult and pediatric ICU beds and occupancy for COVID-related critical illness (CRCI) - Dataset - Ontario Data Catalogue,Health,CSV,Due to technical issues  data for September 9  2023 onwards are not currently available.,"September 29, 2023",Open Government Licence – Ontario,Daily,,Ontario
Available wood report - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,XLSX,"The Ministry of Natural Resources and Forestry works with forest management
unit managers and existing industry stakeholders to estimate the available
wood supplies on each management unit in Ontario.","June 30, 2023",Open Government Licence – Ontario,Monthly,,Ontario
Average OSAP debt - Dataset - Ontario Data Catalogue,Colleges and Universities,XLSX,"Data on the average amount of OSAP debt owed by students. The data is specific
to those who attended programs with typical durations.","April 25, 2014",Open Government Licence – Ontario,Yearly,,Ontario
Average net operating income by region and county - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on the average net operating income by region and county in Ontario.  The data includes:,"September 30, 2022",Open Government Licence – Ontario,Other,,
Average weekly cattle prices - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on weekly cattle prices in Ontario.,"September 26, 2023",Open Government Licence – Ontario,Weekly,,
Average weekly corn prices - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on weekly spot market and forward contract corn prices in Ontario.,"September 26, 2023",Open Government Licence – Ontario,Weekly,,
Average weekly hog prices - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on weekly hog prices in Ontario.,"September 26, 2023",Open Government Licence – Ontario,Weekly,,
Average weekly soybean prices - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on weekly spot market and forward contract soybean prices in Ontario.,"September 26, 2023",Open Government Licence – Ontario,Weekly,,
Average weekly winter wheat prices - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on weekly spot market and forward contract winter wheat prices in Ontario.,"September 26, 2023",Open Government Licence – Ontario,Weekly,,
Bathymetry index - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"The attribute table included in the dataset provides some limited metadata
information that is specific to each lake. This includes the:","April 30, 2015",Open Government Licence – Ontario,Periodically,,Ontario
Bathymetry lines - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Bathymetry line data was collected to assess fish habitat in Ontario. Spot
depths (bathymetry points) were used to measure the depth contours  which
function like isobars to show lines of constant depth. Their density and
positional accuracies vary depending on the survey style and parameters. This
data should never be used for navigation.","August 22, 2016",Open Government Licence – Ontario,Other,,Ontario
Bathymetry points - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Data has been collected primarily using a depth measurement device  such as an
echo-sounder  in combination with a GPS for horizontal positioning. Other
survey methods  such as bathymetric LiDAR may also have been used. The survey
method used in each body of water is shown in the Bathymetry
Index.","August 22, 2016",Open Government Licence – Ontario,Other,,Ontario
Beaches in Ecoregion 6e6 and 7e5 - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Two classes of beaches are distinguished  those with infrastructure and those
without.","July 2, 2013",Open Government Licence – Ontario,As required,,Ontario
Beaver Dam - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,This dataset contains linear features constructed by beavers. The linear features are captured to scale on:,"July 12, 2004",Open Government Licence – Ontario,Historical,,Ontario
"Key statistical indicators for farm, rural, food processing, and fiber in Ontario - Dataset - Ontario Data Catalogue",Agriculture  Food and Rural Affairs,XLSX,Get a summary of Ontario’s farm sector sales and net cash income  gross domestic product (GDP)  and agri-food trade and employment. The data includes:,"June 3, 2022",Open Government Licence – Ontario,Yearly,,
Labour force estimates by education - Dataset - Ontario Data Catalogue,Labour  Immigration  Training and Skills Development,ZIP,"The age groups available in the data set are:
15+ 15-24 25-54 25+ 25-64 25-34 55+ and 55-64.","December 14, 2020",Open Government Licence – Ontario,Monthly,,Ontario
Labour force estimates by educational level - Dataset - Ontario Data Catalogue,Labour  Immigration  Training and Skills Development,CSV,"The age groups available in the data set are: 15+  15-64  15-19  15-24  20-24 
25-44  25-54  25+  45-54  55-64  55+ and 65+.","December 7, 2020",Open Government Licence – Ontario,Quarterly,,Ontario
Labour force estimates by industry - Dataset - Ontario Data Catalogue,Labour  Immigration  Training and Skills Development,ZIP,"The age groups available in the data set are: 15+  15-64  15-19  20-24  25-44 
25-54  45-54  55-64  55+ and 65+.","December 7, 2020",Open Government Licence – Ontario,Quarterly,,Ontario
Labour force estimates by occupation - Dataset - Ontario Data Catalogue,Labour  Immigration  Training and Skills Development,CSV,"The age groups available in the data set are:  15+  15-64  15-19  20-24 
25-44  45-54  55-64 and 65+.","December 4, 2020",Open Government Licence – Ontario,Quarterly,,Ontario
Labour force estimates by occupational skill level - Dataset - Ontario Data Catalogue,Labour  Immigration  Training and Skills Development,ZIP,Data includes management and unclassified skills levels.,"November 17, 2016",Open Government Licence – Ontario,Monthly,,Ontario
Lake Ontario Prey Fish Trawl Data - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,WEB,This dataset contains Lake Ontario prey fish abundance and distribution statistics  collected every year during spring and fall bottom trawl surveys.,"October 11, 2023",Open Government Licence – Ontario,Yearly,,Lake Ontario
Lake Ontario tagged Atlantic salmon - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,Get data on Lake Ontario tagged Atlantic salmon recaptures.,"May 2, 2021",Open Government Licence – Ontario,As required,,Lake Ontario; St. Lawrence River
Lake Simcoe Monitoring - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,ZIP,"The Lake Simcoe lake monitoring program provides measurements of chemical and
physical water quality limits such as total phosphorus  nitrogen  chlorophyll
a  pH  alkalinity  conductivity  dissolved organic and inorganic carbon 
silica  other ions  water transparency  temperature and dissolved oxygen.
Samples are collected biweekly during the spring  summer and fall.","December 20, 2022",Open Government Licence – Ontario,Historical,,Ontario
Lake Simcoe Protection Act Watershed Boundary - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,,"This boundary is used in the management of watershed-based planning by the
Lake Simcoe Region Conservation Authority (LSRCA). It is used to support the
Lake Simcoe Protection Act (LSPA).","July 2, 2013",Open Government Licence – Ontario,Other,,Ontario
Lake Simcoe shoreline inventory - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,This dataset was created to:,"April 30, 2015",Open Government Licence – Ontario,Other,,Ontario
Lake Trout Lakes in Ontario - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,A comprehensive list of inland Ontario lakes (exclusive of the Great Lakes) that are currently designated for Lake Trout management.,,King's Printer for Ontario,Ontario,,Ontario
Lake Water Quality at Drinking Water Intakes - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,"This data set includes information on sampling locations  water chemistry and
chlorophyll collected at 18 locations in the Great Lakes-St. Lawrence River
and 4 locations in Lake Simcoe.","November 30, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Land Information Ontario (LIO) Topographic Data Cache - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,The LIO Topographic Data Cache is a collection of topographic data  that has been preprocessed for fast  seamless display at predefined scales.,"September 30, 2021",Open Government Licence – Ontario,Yearly,,Ontario
Land contour - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,PDF,Includes:,"April 30, 2015",Open Government Licence – Ontario,Periodically,,Ontario
Land cover compilation - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,PDF,This dataset combines:,"April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
"Landfill Gas Collection, Use and Destruction - Dataset - Ontario Data Catalogue",Environment  Conservation and Parks,XLSX,This dataset provides a summary of information reported by landfills regarding their landfill gas collection (LFG)  methane destruction and/or use  and associated emission reductions as required by Section 11 of O.Reg. 347 under the Environmental Protection Act.,"December 17, 2021",Open Government Licence – Ontario,Yearly,,Ontario
Large Landfill Sites (Historical data) - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,Data with the following information for large landfills:,"January 23, 2014",Open Government Licence – Ontario,Historical,,Ontario
Licensed Toxics Planners - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,"Data contains toxics planner's license number  expiration date  name  contact
information and location.",,Open Government Licence – Ontario,Historical,,Ontario
Licensed Well Contractors - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,Directory of Licensed Well Contractors,"April 1, 2022",Open Government Licence – Ontario,Quarterly,,Ontario
Make a Topographic Map application - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,The Ministry of Natural Resources and Forestry’s Make a Topographic Map is a mapping application that features the best available topographic data and imagery for Ontario.,"February 24, 2021",Open Government Licence – Ontario,Yearly,,Ontario
Manufacturing industry statistics: food beverage and tobacco manufacturing - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on food beverage and tobacco manufacturing sector for Ontario.,"June 7, 2023",Open Government Licence – Ontario,As required,,Ontario
Metadata Management Tool (MMT) records archive - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,Information summarizing metadata records that were part of Land Information Ontario's (LIO's) Metadata Management Tool.,,Open Government Licence – Ontario,Contact LIO Support at geospatial@ontario.ca for more information or to get an extract of original metadata files.,,Ontario
Ministry of Natural Resources Road Barrier - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"A Ministry of Natural Resources (MNR) Road Barrier is when access to a road
segment or network is restricted or controlled.","July 2, 2013",Open Government Licence – Ontario,As required,,Ontario
Ministry of Transportation aggregate sites - Dataset - Ontario Data Catalogue,Transportation,,"This dataset provides details on the location of MTO aggregate pits. Aggregate
pits provide the material necessary to build roadways in the province.","August 4, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Municipal Land Use Planning - Dataset - Ontario Data Catalogue,Municipal Affairs and Housing,CSV,"This data tracks the review and final decisions for files where the Ministry
of Municipal Affairs and Housing is the planning approval authority.","February 23, 2016",Open Government Licence – Ontario,Yearly,,Ontario
Municipal Treated Wastewater Effluent - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,XLSX,The flows and effluent quality data is for the parameters of:,"April 11, 2022",Open Government Licence – Ontario,Yearly,,Ontario
Municipal property standards bylaws - Dataset - Ontario Data Catalogue,Municipal Affairs and Housing,CSV,The dataset indicates whether bylaws are:,"April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Quaternary geology of Ontario - Dataset - Ontario Data Catalogue,Mines,KML,"The Quaternary geology data set is a digital interpretation of surficial
geology for the Province of Ontario and illustrates the general distribution
of the various types of Quaternary sediments and the major landforms
associated with them. Tills  glaciofluvial  glaciolacustrine  glaciomarine 
fluvial  lacustrine and organic deposits are represented by 30 distinct
geological units illustrating the Quaternary stratigraphy of Ontario. Also
shown are landform deposits such as drumlins  moraines  eskers  sand dunes 
and glacial-related escarpments.","October 10, 2012",Ministry Terms of Use,Never,,Ontario
Railway - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Centreline linear features consisting of steel track for trains. Legislated or
Legal Authority for Collection: None Additional Time Period Information: Data
is collected on an on-going basis therefore the time period 'end date' may be
more recent than indicated above.","July 2, 2013",Open Government Licence – Ontario,As required,,Ontario
Reason for part-time work by immigration status - Dataset - Ontario Data Catalogue,Labour  Immigration  Training and Skills Development,CSV,The age groups available in the data set are: 15+  15-24  25-54 and 55+.,"December 7, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Recreational fishing regulations data - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,XLSX,This spatial dataset contains a summary of fishing regulations and fish sanctuary descriptions. The data includes information on:,"January 1, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Recreational fishing sites - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,Find recreational fishing sites in Toronto and surrounding areas.,,King's Printer for Ontario,Ontario,,Ontario
Red meat slaughter - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on red meat slaughtered in provincially inspected plants by month and type.,"September 12, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Renewable Energy Projects - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,"Data contains project type  project information  project status and project
county  district or region.","January 27, 2022",Open Government Licence – Ontario,Yearly,,Ontario
Renewable energy on Crown land policy area - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"The Renewable Energy on Crown Land Policy (PL 4.10.06) covers access to Crown
land for potential onshore wind  solar and waterpower development. This
information will help renewable energy development on Crown Land.","April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Report on forest management: annual summary of Ontario’s forest management activities - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,CSV,This data summarizes forest management activities that occur in Ontario’s Crown forests each year.,"May 4, 2023",Open Government Licence – Ontario,Periodically,,Managed forest zone (Ontario’s Crown managed forests)
Retirement Home locations - Dataset - Ontario Data Catalogue,Health,,Geographic information on the location of retirement homes in Ontario.,"April 5, 2020",Open Government Licence – Ontario,Other,,Ontario
Risk Management Measures Catalogue - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,XLSX,"The catalogue provides a means for a user to determine which management
measures and management targets are suitable to effectively manage a specific
threat to the quality or quantity of source water  allowing the user to take
local conditions into consideration.","December 21, 2022",Ontario.ca Terms of Use,As required,,Ontario
Risk-driven Tracking Database - Dataset - Ontario Data Catalogue,Solicitor General,CSV,Multi-sectoral risk intervention model is a collaborative risk-based approach to address situations where individuals or families are experiencing a high level of risk. This is based on multiple risks factors that cross a number of different sectors and would be better managed through a holistic response. These models involve frontline service providers from a variety of agencies and sectors working together to develop a customized  multi-disciplinary intervention to help mitigate those risks.,"April 14, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Road conditions - Dataset - Ontario Data Catalogue,Transportation,KML,"Used within the Travellers Road Information Portal Interactive Map to convey
transportation related information in both official languages. Contains
current winter road conditions on provincially maintained highways. For
example  snow covered  snow packed  etc.","October 9, 2012",Open Government Licence – Ontario,Current,,Ontario
Sediment Chemistry (Great Lakes Nearshore Areas) - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,XLSX,Data is collected each year  according to the lake-by-lake cycle.,"March 31, 2023",Open Government Licence – Ontario,As required,,Ontario
Seniors Active Living Centre locations - Dataset - Ontario Data Catalogue,Seniors and Accessibility,CSV,"Seniors Active Living Centres  or SALC  offer a range of social  cultural 
learning and recreational programs for seniors. SALC information includes the
name  address  phone number  website.","January 30, 2020",Open Government Licence – Ontario,As required,,Ontario
Seniors Active Living Centres (SALC) locations - Dataset - Ontario Data Catalogue,Health,,"Geographic information about social and recreational programs to promote
wellness for seniors which may also offer preventive  health education  and
support services helping keep seniors healthy  active  and independent for as
long as possible.","January 17, 2017",Open Government Licence – Ontario,Other,,Ontario
Single master gravity and aeromagnetic data for Ontario - Dataset - Ontario Data Catalogue,Mines,KML,"Gravity and aeromagnetic contains ground field reading of gravity strengths
and airborne surveys of magnetic strengths from across the province of
Ontario.","October 10, 2012",Ministry Terms of Use,Never,,Ontario
Site regions and districts - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Site Regions and Site Districts of Ontario represent an early Ecological Land
Classification (ELC) system originally developed by Angus Hills. This dataset
was revised by the ELC Working Group in 2000 to better reflect new information
and new technology.","September 9, 2014",Open Government Licence – Ontario,Other,,Ontario
Small Landfill Sites (Historical data) - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,Data with the following information for small landfills:,"January 23, 2014",Open Government Licence – Ontario,Historical,,Ontario
Smog Advisory Statistics (Ambient Air Quality Network) - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,The ministry monitors air pollution levels and issues smog advisories when there is strong likelihood that widespread  elevated  and persistent smog levels are expected.,"December 19, 2022",Open Government Licence – Ontario,As required,,Ontario
Socio-economic statistics for rural and urban Ontario - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data for rural and urban Ontario on key socioeconomic variables.,"May 3, 2023",Open Government Licence – Ontario,Every 5 years,,
Soil Neonicotinoid Monitoring Study - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,"The Ministry of the Environment  Conservation and Parks started the Multi-Media Monitoring Study in 2015  in support of Ontario's Pollinator Health Action
Plan  to measure changes in neonicotinoid insecticide concentrations in the
environment following restrictions on the use of neonicotinoid-treated corn
and soybean seeds.","November 30, 2020",Open Government Licence – Ontario,Historical,,Ontario
Soil survey - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,,Get consolidated soil data mapped on a county basis in a digitally stitched and standardized product.,"November 29, 2019",Open Government Licence – Ontario,As required,,Ontario
Source Protection Area Generalized - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,,"A source protection area (SPA) is an area of land and water governed by a
Source Protection Authority  an agency  person or body.","April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Southern Ontario Land Resource Information System - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Data covers natural  rural and urban lands in Ecoregions 6E and 7E  current to
2000-2002.","April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Southern Ontario Land Resource Information System (SOLRIS) 2.0 - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"SOLRIS is based on MNRF's Ecological Land Classification (ELC) for southern
Ontario (Lee et al  1998). It is a land use inventory that supports a number
of key Provincial initiatives including Source Water Protection  Natural
Spaces  Biodiversity Conservation and State of Resources Reporting.","January 1, 2000",Open Government Licence – Ontario,Other,,Ontario
Special Education Enrolment by Exceptionality - Dataset - Ontario Data Catalogue,Education,XLSX,This data set contains special education enrolment data by exceptionality for both elementary and secondary publicly funded  schools in Ontario  at the provincial level.,"March 10, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Species at Risk Stewardship Program projects - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,,Each year  Ontario invests in projects that support the recovery of species at risk in the province. These are the projects that are receiving support.,,King's Printer for Ontario,As required,,Ontario
Species at risk recovery strategy progress updates - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,This dataset contains status updates and projected timelines for the preparation of recovery strategies for 37 species required under the Endangered Species Act  2007.,"June 5, 2023",Open Government Licence – Ontario,Ontario,,Ontario
Spot Height - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"A spot height identifies the elevation (z value) above sea level of natural
and man-made geographic features.","July 2, 2013",Open Government Licence – Ontario,Other,,Ontario
St. Lawrence Basin watersheds - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,Data includes:,"February 10, 2021",Open Government Licence – Ontario,Biannually,,Ontario
Standardized Precipitation Index - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,The Standardized Precipitation Index (SPI) was generated  for certain Environment Canada long-term climate stations in Ontario.,,Open Government Licence – Ontario,Historical,,Ontario
Ontario's Local Distribution Companies (LDCs) Boundaries Map - Dataset - Ontario Data Catalogue,Energy,ZIP,The spatial extent of service territory boundaries for Ontario's local distribution companies (LDCs). ENERGY's data consumers require visualization of the service territory boundaries of local distribution companies (LDCs) to support policy development.,"January 31, 2023",Open Government Licence – Ontario,No additional steps. Download the attachment and input the file into GIS software for use.,,The service area coverage of 63 local electricity distribution companies (LDCs) for the Province of Ontario.
Ontario‘s Trillium Drug Program processing times - Dataset - Ontario Data Catalogue,Health,CSV,This data includes information on the Trillium Drug Program  including:,"February 1, 2019",King's Printer for Ontario,Yearly,,Ontario
Ontario’s Emissions Trading Program Data - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,This historic dataset includes data reported under Ontario’s now revoked Emissions Trading Program regulations (O. Reg. 397/01: Emissions Trading and O. Reg. 194/05: Industry Emissions - Nitrogen Oxides and Sulphur Dioxide).,"December 31, 2020",Open Government Licence – Ontario,Historical,,Ontario
Ontario’s health region geographic data - Dataset - Ontario Data Catalogue,Health,ZIP,Geographic information for Ontario Health (OH) Regions  and Home and Community Care Support Services (HCCSS) boundaries.,"June 13, 2023",Open Government Licence – Ontario,Historical,,Ontario
Ontario’s highway programs - Dataset - Ontario Data Catalogue,Transportation,CSV,The Ontario Highways Program provides information on highway expansion and rehabilitation projects that are planned or underway in communities across the province through different formats  including an interactive map  pdf lists and sortable tables.,"September 21, 2023",King's Printer for Ontario,Quarterly,,Ontario
Ontario’s housing supply progress - Dataset - Ontario Data Catalogue,Municipal Affairs and Housing,CSV,This data compares how many new home construction starts have happened in municipalities against their housing targets for 2031.,"August 18, 2023",Open Government Licence – Ontario,Monthly,,Ontario
Ontario’s livestock community sales facilities - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get a list of facilities selling livestock by public auction in Ontario  including name  address  county and class.,"April 28, 2016",Open Government Licence – Ontario,Yearly,,Ontario
Open Ontario imagery - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,View spatial imagery of Ontario captured by satellite or airplane.,,Open Government Licence – Ontario,"Ordering instructions, metadata and web service connections to available orthophotography are available online at the Ontario GeoHub:

https://geohub.lio.gov.on.ca/documents/lio::algonquin-2015-orthophotography/about;
https://geohub.lio.gov.on.ca/documents/lio::digital-raster-acquisition-project-eastern-ontario-drape-2008/about;
https://geohub.lio.gov.on.ca/documents/lio::digital-raster-acquisition-project-eastern-ontario-drape-2014/about;
https://geohub.lio.gov.on.ca/documents/lio::south-central-ontario-orthophotography-scoop-2013-/about;
https://geohub.lio.gov.on.ca/documents/lio::county-of-simcoe-muskoka-and-dufferin-smd-2008-orthophotography/about;
https://geohub.lio.gov.on.ca/documents/lio::southwestern-ontario-orthophotography-swoop-2006/about;
https://geohub.lio.gov.on.ca/documents/lio::southwestern-ontario-orthophotography-swoop-2010/about;
https://geohub.lio.gov.on.ca/documents/lio::southwestern-ontario-orthophotography-swoop-2015/about;
https://geohub.lio.gov.on.ca/documents/lio::central-ontario-orthophotography-coop-2016/about;
https://geohub.lio.gov.on.ca/documents/lio::northwestern-ontario-orthophotography-nwoop-2017/about;
https://geohub.lio.gov.on.ca/documents/lio::south-central-ontario-orthophotography-scoop-2018/about;
https://geohub.lio.gov.on.ca/datasets/lio::digital-raster-acquisition-project-eastern-ontario-drape-2019-2020/about;
https://geohub.lio.gov.on.ca/datasets/lio::south-western-ontario-orthophotography-project-swoop-2020/about;
https://geohub.lio.gov.on.ca/documents/lio::central-ontario-orthophotography-project-coop-2021/about.

Imagery dating back to the 1940s is available from the Archives of Ontario.",,Ontario
Open Ontario imagery - Central Ontario 2016 Orthophotography - Ontario Data Catalogue,,,Central Ontario Orthophotography (COOP) was acquired in the spring of 2016 under the best conditions possible to achieve cloud free  snow free  ice free  smoke free  and leaf off captures. The orthophotography has a pixel resolution of 20 centimetres and is accurate to 50 centimetres on the ground at 90%. The imagery was acquired by an ADS100 Leica digital camera and was later orthorectified using an elevation dataset generated through image correlation.,,,,,
Open data voting tool results - Dataset - Ontario Data Catalogue,Finance,XLSX,"Information on various types of data owned and managed by provincial
ministries. Descriptions of these datasets were originally posted in the open
data voting tool so that Ontarians could cast their votes to determine which
items would be released publicly.","April 30, 2015",Open Government Licence – Ontario,Historical,,Ontario
Ottawa-Carleton Detention Centre admissions alerts - Dataset - Ontario Data Catalogue,Solicitor General,CSV,"This dataset provides the percentage of all male and female inmate admissions
to the Ottawa-Carleton Detention Centre with an alert covering fiscal years
2005-06 through to 2017-18.","May 6, 2019",Open Government Licence – Ontario,Yearly,,Ontario
Ottawa-Carleton Detention Centre admissions to custody - Dataset - Ontario Data Catalogue,Solicitor General,CSV,"This dataset provides the number of male and female inmates admitted to the
Ottawa-Carleton Detention Centre covering fiscal years 2005-06 through to
2017-18.","May 6, 2019",Open Government Licence – Ontario,Yearly,,Ontario
Ottawa-Carleton Detention Centre average daily counts - Dataset - Ontario Data Catalogue,Solicitor General,CSV,"This dataset provides the average daily count of male and female inmates being
held in the Ottawa-Carleton Detention Centre covering fiscal years 2005-06
through to 2017-18.","May 6, 2019",Open Government Licence – Ontario,Yearly,,Ontario
Ottawa-Carleton Detention Centre specialized unit hold counts - Dataset - Ontario Data Catalogue,Solicitor General,CSV,"This dataset provides the average daily count of male and female inmates held
in specialized units  at the Ottawa-Carleton Detention Centre covering fiscal
years 2005-06 through to 2017-18.","May 6, 2019",Open Government Licence – Ontario,Yearly,,Ontario
Ottawa-Carleton Detention Centre utilization rates - Dataset - Ontario Data Catalogue,Solicitor General,CSV,"The utilization rate provides a metric reflecting how much of the operational
capacity is in use at the Ottawa-Carleton Detention Centre from fiscal year
2005-06 to 2017-18.","May 6, 2019",Open Government Licence – Ontario,Yearly,,Ontario
Our land – healthy – vibrant – valued: A natural heritage system for Prince Edward County and neighbouring communities - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,Get data on the results of a community led planning process to sustain the natural environment in Prince Edward County and neighbouring communities.,,Open Government Licence – Ontario,Other,,Prince Edward County
Part-time employment - Dataset - Ontario Data Catalogue,Labour  Immigration  Training and Skills Development,ZIP,"The age groups available in the data set are:  15+  15-64  15-19  20-24 
25-44  45-54  55-64 and 65+.","November 17, 2016",Open Government Licence – Ontario,Yearly,,Ontario
Pavement condition for provincial highways - Dataset - Ontario Data Catalogue,Transportation,XLSX,"Pavement condition data is collected annually using an Automatic Road Analyzer
(ARAN). Based on the automated data  the condition of the pavement is
evaluated in terms of distresses (Distress Manifestation Index  DMI)  wheel
track rutting (in mm) and roughness (International Roughness Index  IRI).
These indices are integrated into one Pavement Condition Index (PCI) for
overall pavement condition reporting and analysis.","December 31, 2017",Open Government Licence – Ontario,Yearly,,Ontario
"Performance indicators for the Growth Plan for the Greater Golden Horseshoe, 2006 - Dataset - Ontario Data Catalogue",Municipal Affairs and Housing,ZIP,"Performance indicators are used to measure the implementation of the Growth
Plan's policies. They are intended to provide useful information on how growth
and development in the region are unfolding over time  and to inform reviews
of the Growth Plan.","May 2, 2016",Open Government Licence – Ontario,As required,,Ontario
Permit to Take Water - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,ZIP,"Companies or organizations who take over 50 000 litres of water/day from a
lake  river  stream or groundwater source  must obtain a Permit to Take Water
from the Ministry of the Environment -with a few exceptions.","April 29, 2022",Open Government Licence – Ontario,Quarterly,,Ontario
